model,train_rmse,test_rmse
Linear regression,2.435933138,2.442000807
Decision tree,1.719722393,2.090082988
Random forest,1.377904063,1.645007778
KNN,0.7889184577648223,1.076540000636783
SVR,0.05760239410300195,0.07696697568517327
GPR,0.0002309094545203058,0.0002411871377630834
